report_id,date,location_id,report_text
R001,2026-05-14,L001,"Arjun Mehta, also known as AJ, was seen meeting Sameer Khan near Kothrud on 14 May. A white SUV was observed nearby."
R002,2026-05-20,L017,"P011 was reported communicating with P024, while P024 was connected to P037. Financial activity later linked P037 back to P011."
R003,2026-06-02,L017,"A transfer of five lakh rupees moved from P004 to P019, followed by transfers from P019 to P027 and P027 to P033."
R004,2026-05-14,L002,"P044 showed an unusual increase in communication activity during the day, contacting numerous individuals across multiple locations."
R005,2026-04-21,L013,A white SUV associated with P031 was observed near Kondhwa. The same individual appeared in records involving several other entities.
R006,2026-05-11,L018,Routine intelligence note concerning persons P009 and P105.
R007,2026-03-04,L004,Routine intelligence note concerning persons P079 and P002.
R008,2026-01-29,L019,Routine intelligence note concerning persons P069 and P148.
R009,2026-04-07,L017,Routine intelligence note concerning persons P071 and P125.
R010,2026-02-21,L014,Routine intelligence note concerning persons P056 and P088.
R011,2026-03-09,L008,Routine intelligence note concerning persons P036 and P064.
R012,2026-03-22,L004,Routine intelligence note concerning persons P116 and P109.
R013,2026-02-14,L020,Routine intelligence note concerning persons P087 and P121.
R014,2026-04-06,L007,Routine intelligence note concerning persons P107 and P091.
R015,2026-01-01,L009,Routine intelligence note concerning persons P088 and P025.
R016,2026-03-23,L016,Routine intelligence note concerning persons P051 and P084.
R017,2026-02-15,L015,Routine intelligence note concerning persons P027 and P018.
R018,2026-02-04,L014,Routine intelligence note concerning persons P080 and P093.
R019,2026-03-30,L002,Routine intelligence note concerning persons P013 and P147.
R020,2026-03-07,L011,Routine intelligence note concerning persons P032 and P055.
R021,2026-02-16,L007,Routine intelligence note concerning persons P038 and P073.
R022,2026-02-21,L004,Routine intelligence note concerning persons P047 and P120.
R023,2026-02-14,L004,Routine intelligence note concerning persons P006 and P119.
R024,2026-01-31,L004,Routine intelligence note concerning persons P091 and P122.
R025,2026-03-03,L006,Routine intelligence note concerning persons P145 and P109.
R026,2026-04-27,L003,Routine intelligence note concerning persons P136 and P055.
R027,2026-06-03,L015,Routine intelligence note concerning persons P009 and P081.
R028,2026-06-04,L008,Routine intelligence note concerning persons P098 and P025.
R029,2026-03-01,L012,Routine intelligence note concerning persons P002 and P069.
R030,2026-04-14,L008,Routine intelligence note concerning persons P132 and P140.
R031,2026-01-19,L006,Routine intelligence note concerning persons P083 and P074.
R032,2026-04-24,L008,Routine intelligence note concerning persons P036 and P030.
R033,2026-02-25,L006,Routine intelligence note concerning persons P013 and P063.
R034,2026-03-21,L010,Routine intelligence note concerning persons P132 and P013.
R035,2026-03-24,L004,Routine intelligence note concerning persons P026 and P070.
R036,2026-01-06,L013,Routine intelligence note concerning persons P070 and P016.
R037,2026-06-08,L017,Routine intelligence note concerning persons P084 and P083.
R038,2026-01-21,L008,Routine intelligence note concerning persons P103 and P147.
R039,2026-06-27,L006,Routine intelligence note concerning persons P145 and P046.
R040,2026-02-12,L007,Routine intelligence note concerning persons P033 and P026.
R041,2026-04-10,L009,Routine intelligence note concerning persons P043 and P032.
R042,2026-04-14,L001,Routine intelligence note concerning persons P055 and P105.
R043,2026-03-23,L009,Routine intelligence note concerning persons P022 and P079.
R044,2026-03-04,L010,Routine intelligence note concerning persons P086 and P059.
R045,2026-01-20,L010,Routine intelligence note concerning persons P112 and P002.
R046,2026-01-09,L009,Routine intelligence note concerning persons P110 and P025.
R047,2026-06-12,L013,Routine intelligence note concerning persons P060 and P131.
R048,2026-06-13,L003,Routine intelligence note concerning persons P101 and P106.
R049,2026-04-22,L011,Routine intelligence note concerning persons P140 and P133.
R050,2026-04-11,L003,Routine intelligence note concerning persons P148 and P074.
